CHAMP;CODE;DESIGNATION;IDINTERNECLT;LIBELLE;TYPE;VALEURACTUEL
secActEcon;OBL002;;10200003386;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003365;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003355;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003418;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003386;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003355;Date invalide;Erreur;ND
mobile;OBL002;;10200003354;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003602;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003354;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003355;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003354;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003386;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003354;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003355;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003339;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003339;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003365;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003336;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003336;Format incorrect;Erreur;ND
mobile;OBL002;;10200003355;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003336;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003339;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003336;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003354;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003336;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003339;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003335;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003335;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003325;Date invalide;Erreur;ND
mobile;OBL002;;10200003325;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003324;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003339;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003325;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003335;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003324;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003324;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003320;Format incorrect;Erreur;ND
mobile;OBL002;;10200003320;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003320;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003324;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003320;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003325;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200003324;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003297;Date invalide;Erreur;ND
mobile;OBL002;;10200003297;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003293;Date invalide;Erreur;ND
mobile;OBL002;;10200003335;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003297;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003293;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003297;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003335;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003320;Date invalide;Erreur;ND
mobile;OBL002;;10200003293;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003282;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003282;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003282;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003280;Date invalide;Erreur;ND
mobile;OBL002;;10200003282;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003280;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003282;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003279;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003283;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003279;Format incorrect;Erreur;ND
mobile;OBL002;;10200003279;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003283;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003279;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003279;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003220;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003220;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003220;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003220;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003216;Date invalide;Erreur;ND
mobile;OBL002;;10200003216;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003216;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003293;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003216;Syntaxe spécifique non respectée;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200003191;Format incorrect;Erreur;GROUPEMENT ASSOCIATIO ARTISANAL DES MACONS ET PLOMBIERS
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003191;Date invalide;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200003178;Format incorrect;Erreur;GROUPEMENT ARTISANAL DES PRODUCTEURS ETCOMMERCENTS DE SEL
mobile;OBL002;;10200003178;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003191;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003283;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200003216;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200003127;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003127;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003178;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200003100;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003178;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003127;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003283;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003042;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003100;Date invalide;Erreur;ND
secActEcon;OBL002;;10200003042;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003042;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003191;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200003025;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003025;Date invalide;Erreur;ND
mobile;OBL002;;10200003025;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200003025;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003280;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003100;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002981;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200003042;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002981;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002981;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002977;Date invalide;Erreur;ND
mobile;OBL002;;10200003042;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002977;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002981;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200003025;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200002975;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002975;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002981;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002977;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002974;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002974;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002975;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002974;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002977;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002968;Date invalide;Erreur;ND
mobile;OBL002;;10200002968;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002975;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002975;Date invalide;Erreur;ND
secActEcon;OBL002;;10200002968;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002974;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002967;Format incorrect;Erreur;ND
mobile;OBL002;;10200002967;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002977;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200002967;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002965;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002968;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002965;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002965;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002974;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002957;Date invalide;Erreur;ND
mobile;OBL002;;10200002957;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002957;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002967;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002945;Date invalide;Erreur;ND
secActEcon;OBL002;;10200002965;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002945;Format incorrect;Erreur;ND
mobile;OBL002;;10200002945;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002967;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002938;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002938;Format incorrect;Erreur;ND
mobile;OBL002;;10200002965;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002938;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002957;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002938;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002923;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002945;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002968;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002923;Format incorrect;Erreur;ND
mobile;OBL002;;10200002923;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002923;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002957;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200002922;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002922;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002922;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002922;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002918;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002923;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002918;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200002918;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002918;Date invalide;Erreur;ND
mobile;OBL002;;10200002916;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002916;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002918;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002916;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002945;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002916;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002938;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002903;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002899;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002903;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002916;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002899;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002899;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002891;Format incorrect;Erreur;ND
mobile;OBL002;;10200002899;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002891;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002891;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002891;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200002903;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002887;Date invalide;Erreur;ND
mobile;OBL002;;10200002887;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002887;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002887;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002899;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002887;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002880;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002880;Format incorrect;Erreur;ND
mobile;OBL002;;10200002880;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002880;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002880;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002857;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002857;Format incorrect;Erreur;ND
mobile;OBL002;;10200002857;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002857;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200002903;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002844;Date invalide;Erreur;ND
mobile;OBL002;;10200002844;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002844;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002844;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002891;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002825;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002825;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002825;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002857;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002824;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002824;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002824;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002825;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002824;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002822;Date invalide;Erreur;ND
secActEcon;OBL002;;10200002822;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002822;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002922;Date invalide;Erreur;ND
mobile;OBL002;;10200002822;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002822;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002793;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002793;Format incorrect;Erreur;ND
mobile;OBL002;;10200002793;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002793;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002844;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002704;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002793;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002704;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002824;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002652;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002825;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200002652;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002652;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002652;Format incorrect;Erreur;ND
sigle;SYN001;La longueur ne doit pas depasser 50 caracteres;10200002625;Format incorrect;Erreur;ASSOCIATION DES NOTABLES RESIDENTS DE FILIKHOUNYI COYAH
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002625;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002704;Date invalide;Erreur;ND
secActEcon;OBL002;;10200002625;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002625;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002614;Date invalide;Erreur;ND
mobile;OBL002;;10200002625;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002652;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002704;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002614;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002625;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200005352;Date invalide;Erreur;ND
mobile;OBL002;;10200005352;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002614;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002549;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002614;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002549;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200005352;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002534;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002549;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200002534;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002534;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002704;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200005352;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200005352;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002534;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200002549;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002532;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002534;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002532;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002614;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002549;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002506;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002506;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200002506;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002506;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002500;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002500;Format incorrect;Erreur;ND
mobile;OBL002;;10200002500;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002500;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002532;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002500;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002495;Date invalide;Erreur;ND
mobile;OBL002;;10200002506;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200002495;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200002495;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200002495;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200002495;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200002476;Date invalide;Erreur;ND
mobile;OBL002;;10200002476;Champ obligatoire manquant;Erreur;
